name,formula,,,,,,,,,,
hydrogen,H^+,,,,,,,,,,
lithium,Li^+,,,,,,,,,,
sodium,Na^+,,,,,,,,,,
potassium,K^+,,,,,,,,,,
rubidium,Rb^+,,,,,,,,,,
cesium,Cs^+,,,,,,,,,,
ammonium,NH4^+,,,,,,,,,,
copper(I),Cu^+,,,,,,,,,,
cuprous,Cu^+,,,,,,,,,,
silver,Ag^+,,,,,,,,,,
magnesium,Mg^2+,,,,,,,,,,
calcium,Ca^2+,,,,,,,,,,
strontium,Sr^2+,,,,,,,,,,
barium,Ba^2+,,,,,,,,,,
zinc,Zn^2+,,,,,,,,,,
copper(II),Cu^2+,,,,,,,,,,
cupric,Cu^2+,,,,,,,,,,
mercury(I),Hg2^2+,,,,,,,,,,
mercurous,Hg2^2+,,,,,,,,,,
mercury(II),Hg^2+,,,,,,,,,,
mercuric,Hg^2+,,,,,,,,,,
lead(II),Pb^2+,,,,,,,,,,
plumbous,Pb^2+,,,,,,,,,,
chromium(II),Cr^2+,,,,,,,,,,
iron(II),Fe^2+,,,,,,,,,,
ferrous,Fe^2+,,,,,,,,,,
cobalt(II),Co^2+,,,,,,,,,,
nickel(II),Ni^2+,,,,,,,,,,
tin(II),Sn^2+,,,,,,,,,,
stannous,Sn^2+,,,,,,,,,,
aluminum,Al^3+,,,,,,,,,,
scandium,Sc^3+,,,,,,,,,,
yttrium,Y^3+,,,,,,,,,,
chromium(III),Cr^3+,,,,,,,,,,
iron(III),Fe^3+,,,,,,,,,,
ferric,Fe^3+,,,,,,,,,,
cobalt(III),Co^3+,,,,,,,,,,
tin(IV),Sn^4+,,,,,,,,,,
stannic,Sn^4+,,,,,,,,,,
lead(IV),Pb^4+,,,,,,,,,,
plumbic,Pb^4+,,,,,,,,,,
fluoride,F^-,,,,,,,,,,
chloride,Cl^-,,,,,,,,,,
bromide,Br^-,,,,,,,,,,
iodide,I^-,,,,,,,,,,
hydride,H^-,,,,,,,,,,
azide,N3^- ,,,,,,,,,,
hydroxide,OH^-,,,,,,,,,,
cyanide,CN^-,,,,,,,,,,
cyanate,OCN^-,,,,,,,,,,
thiocyanate,SCN^-,,,,,,,,,,
nitrite,NO2^-,,,,,,,,,,
nitrate,NO3^-,,,,,,,,,,
acetate,C2H3O2^-,,,,,,,,,,
hypochlorite,ClO^-,,,,,,,,,,
chlorite,ClO2^-,,,,,,,,,,
chlorate,ClO3^-,,,,,,,,,,
perchlorate,ClO4^-,,,,,,,,,,
permanganate,MnO4^-,,,,,,,,,,
hydrogencarbonate,HCO3^-,,,,,,,,,,
dihydrogenphosphate,H2PO4^-,,,,,,,,,,
oxide,O^2-,,,,,,,,,,
sulfide,S^2-,,,,,,,,,,
selenide,Se^2-,,,,,,,,,,
telluride,Te^2-,,,,,,,,,,
peroxide,O2^2-,,,,,,,,,,
carbonate,CO3^2-,,,,,,,,,,
sulfite,SO3^2-,,,,,,,,,,
sulfate,SO4^2-,,,,,,,,,,
selenite,SeO3^2-,,,,,,,,,,
selenate,SeO4^2-,,,,,,,,,,
chromate,CrO4^2-,,,,,,,,,,
dichromate,Cr2O7^2-,,,,,,,,,,
hydrogenphosphate,HPO4^2-,,,,,,,,,,
nitride,N^3-,,,,,,,,,,
phosphide,P^3-,,,,,,,,,,
arsenide,As^3-,,,,,,,,,,
phosphite,PO3^3-,,,,,,,,,,
phosphate,PO4^3-,,,,,,,,,,
arsenite,AsO3^3-,,,,,,,,,,
arsenate,AsO4^3-,,,,,,,,,,
